step_id,status,owner,input_files,output_files,locked,notes
P0.1,done,agent,,manifest.md; 00_inputs/product-intake.md; 00_inputs/source-ledger.csv; 00_inputs/context-read-receipt.csv; workflow-status.csv; 07_validation/continuity-audit.csv,no,Project structure created and product intake populated
P0.2,done,user,,,no,User provided Amazon review CSV and Deep Research Report
L1_OL1,done,agent,00_inputs/product-intake.md; references/source-phases/L1-PrepareDeepResearch-phase.md,01_OL1_prepare_deep_research/OL1-prepare-deep-research.md,no,Deep Research prompt generated — user ran through Gemini and returned report
L2_CSV,done,agent,00_inputs/merged_reviews-p1.csv,02_OL2_review_analysis/OL2-reviews.cleaned.csv,no,196 reviews cleaned to Name/Rating/Review Content format
L2_OL2,done,agent,02_OL2_review_analysis/OL2-reviews.cleaned.csv; references/source-phases/L2a-Review-data-cleaning-phase.md; references/source-phases/L2b-Review-analyze-phase.md,02_OL2_review_analysis/OL2-review-analysis.md,no,7-category review analysis complete with key quotes
L3_OL3,done,agent,01_OL1_prepare_deep_research/deepresearch-oralcleaner.md; 02_OL2_review_analysis/OL2-review-analysis.md; 00_inputs/product-intake.md; references/knowledge-resources/*,03_OL3_ad_briefs/OL3-ad-brief-angles.md,yes,5 ad brief angles (A001-A005) LOCKED — user confirmed
L4_OL4,done,agent,03_OL3_ad_briefs/OL3-ad-brief-angles.md; 00_inputs/product-intake.md; references/source-phases/L4-LongFormAdCopy-phase.md; references/knowledge-resources/*,04_OL4_longform_adcopy/A001__longform-ad-copy.md; 04_OL4_longform_adcopy/A002__longform-ad-copy.md; 04_OL4_longform_adcopy/A003__longform-ad-copy.md; 04_OL4_longform_adcopy/A004__longform-ad-copy.md; 04_OL4_longform_adcopy/A005__longform-ad-copy.md,yes,5 long-form Meta ad copies generated (A001-A005) LOCKED
L5_OL5,done,agent,03_OL3_ad_briefs/OL3-ad-brief-angles.md; 04_OL4_longform_adcopy/*; 00_inputs/product-intake.md; references/source-phases/L5-Advertorial-phase.md; references/knowledge-resources/*,05_OL5_advertorials/AV01__authority-reveals-advertorial.md; 05_OL5_advertorials/AV02__testimonial-review-advertorial.md; 05_OL5_advertorials/AV03__caregiver-relief-advertorial.md,yes,3 advertorial landing pages (AV01 Authority A001+A003; AV02 Testimonial A002+A005; AV03 Caregiver A004) LOCKED
L6_OL6,done,agent,03_OL3_ad_briefs/OL3-ad-brief-angles.md; 04_OL4_longform_adcopy/*; 05_OL5_advertorials/*; 00_inputs/product-intake.md; references/source-phases/L6-VSL-Script-phase.md,06_OL6_vsl_scripts/VSL-ST__suppressed-truth.md; 06_OL6_vsl_scripts/VSL-AE__authority-expert.md,no,2 VSL scripts (VSL-ST Suppressed Truth A001+A003+A005; VSL-AE Authority Expert A001+A003)
QA,todo,agent,,,no,